Anchor 1,Anchor 2,Anchor 3,Anchor 4,Phone / Tx Power,Beacon UUID,Distance
67,71,82,200,-10,0xa123,1.2
75,73,77,200,-7,0xb123,1.2
65,69,69,200,-10,0xa123,1.2
63,74,78,200,-7,0xb123,1.2
63,75,70,200,-10,0xa123,1.2
64,72,69,200,-7,0xb123,1.2
67,68,72,200,-10,0xa123,1.2
76,65,72,200,-7,0xb123,1.2
71,81,65,200,-10,0xa123,1.2
62,65,70,200,-7,0xb123,1.2
67,69,73,200,-10,0xa123,1.2
74,66,70,200,-7,0xb123,1.2
67,82,73,200,-10,0xa123,1.2
68,69,72,200,-7,0xb123,1.2
70,79,76,200,-10,0xa123,1.2
71,67,69,200,-7,0xb123,1.2
67,79,85,200,-10,0xa123,1.2
72,72,74,200,-7,0xb123,1.2
80,78,66,200,-10,0xa123,1.2
72,77,71,200,-7,0xb123,1.2
70,69,70,200,-10,0xa123,1.2
61,70,72,200,-7,0xb123,1.2
68,69,67,200,-10,0xa123,1.2
61,65,73,200,-7,0xb123,1.2
65,61,67,200,-10,0xa123,1.2
64,63,73,200,-7,0xb123,1.2
69,67,67,200,-10,0xa123,1.2
69,61,68,200,-7,0xb123,1.2
70,66,64,200,-10,0xa123,1.2
57,56,69,200,-7,0xb123,1.2
63,73,79,200,-10,0xa123,1.2
63,70,72,200,-7,0xb123,1.2
65,71,74,200,-10,0xa123,1.2
61,68,74,200,-7,0xb123,1.2
63,80,78,200,-10,0xa123,1.2
63,69,72,200,-7,0xb123,1.2
64,78,77,200,-10,0xa123,1.2
70,68,70,200,-7,0xb123,1.2
63,81,73,200,-10,0xa123,1.2
63,64,76,200,-7,0xb123,1.2
61,72,73,200,-10,0xa123,1.2
65,74,74,200,-7,0xb123,1.2
65,73,64,200,-10,0xa123,1.2
65,70,71,200,-7,0xb123,1.2
68,80,74,200,-10,0xa123,1.2
67,71,70,200,-7,0xb123,1.2
72,80,76,200,-10,0xa123,1.2
64,67,84,200,-7,0xb123,1.2
65,76,72,200,-10,0xa123,1.2
62,67,76,200,-7,0xb123,1.2
64,68,78,200,-10,0xa123,1.2
60,61,64,200,-7,0xb123,1.2
64,68,72,200,-10,0xa123,1.2
62,66,66,200,-7,0xb123,1.2
62,68,72,200,-10,0xa123,1.2
61,64,65,200,-7,0xb123,1.2
69,79,67,200,-10,0xa123,1.2
62,70,73,200,-7,0xb123,1.2
66,79,67,200,-10,0xa123,1.2
65,66,74,200,-7,0xb123,1.2
73,70,73,200,-10,0xa123,1.2
70,64,68,200,-7,0xb123,1.2
77,71,85,200,-10,0xa123,1.2
68,76,72,200,-7,0xb123,1.2
71,68,76,200,-10,0xa123,1.2
66,81,67,200,-7,0xb123,1.2
63,67,77,200,-10,0xa123,1.2
64,67,70,200,-7,0xb123,1.2
68,71,72,200,-10,0xa123,1.2
64,63,75,200,-7,0xb123,1.2
63,62,64,200,-10,0xa123,1.2
60,68,69,200,-7,0xb123,1.2
63,68,72,200,-10,0xa123,1.2
61,68,72,200,-7,0xb123,1.2
61,69,71,200,-10,0xa123,1.2
62,62,67,200,-7,0xb123,1.2
70,66,67,200,-10,0xa123,1.2
68,62,65,200,-7,0xb123,1.2
79,64,67,200,-10,0xa123,1.2
71,68,65,200,-7,0xb123,1.2
62,63,71,200,-10,0xa123,1.2
60,60,64,200,-7,0xb123,1.2
68,65,73,200,-10,0xa123,1.2
62,63,70,200,-7,0xb123,1.2
74,81,64,200,-10,0xa123,1.2
73,61,71,200,-7,0xb123,1.2
71,83,77,200,-10,0xa123,2.4
66,86,80,200,-7,0xb123,2.4
78,76,81,200,-10,0xa123,2.4
75,72,84,200,-7,0xb123,2.4
77,78,73,200,-10,0xa123,2.4
68,73,72,200,-7,0xb123,2.4
73,69,77,200,-10,0xa123,2.4
68,70,80,200,-7,0xb123,2.4
77,71,83,200,-10,0xa123,2.4
76,75,79,200,-7,0xb123,2.4
81,72,85,200,-10,0xa123,2.4
67,73,85,200,-7,0xb123,2.4
76,72,76,200,-10,0xa123,2.4
