RSS_1,RSS_3,RSS_4,RSS_5,TxPower,xRegression,yRegression
77,72,77,77,-7,2.25,2.25
77,72,77,77,-7,2.25,2.25
77,72,77,86,-7,2.25,2.25
77,72,87,84,-7,2.25,2.25
79,72,87,84,-7,2.25,2.25
76,66,87,76,-7,2.25,2.25
74,80,87,77,-7,2.25,2.25
74,67,76,76,-7,2.25,2.25
79,72,79,76,-7,2.25,2.25
74,67,90,76,-7,2.25,2.25
79,72,78,76,-7,2.25,2.25
74,72,75,76,-7,2.25,2.25
75,80,78,87,-7,2.25,2.25
82,81,75,77,-7,2.25,2.25
82,81,75,77,-7,2.25,2.25
78,72,74,77,-7,2.25,2.25
74,72,77,77,-7,2.25,2.25
81,72,79,86,-7,2.25,2.25
81,67,83,86,-7,2.25,2.25
74,71,80,78,-7,2.25,2.25
76,71,85,78,-7,2.25,2.25
80,81,78,76,-7,2.25,2.25
73,71,75,77,-7,2.25,2.25
73,71,90,77,-7,2.25,2.25
80,77,71,83,-7,3.75,2.25
79,74,71,78,-7,3.75,2.25
73,74,71,85,-7,3.75,2.25
83,74,80,83,-7,3.75,2.25
75,74,81,80,-7,3.75,2.25
75,74,78,77,-7,3.75,2.25
80,72,78,78,-7,3.75,2.25
83,73,81,78,-7,3.75,2.25
80,74,71,81,-7,3.75,2.25
80,72,71,81,-7,3.75,2.25
80,78,80,78,-7,3.75,2.25
80,78,78,81,-7,3.75,2.25
73,72,71,78,-7,3.75,2.25
73,74,71,78,-7,3.75,2.25
81,74,81,78,-7,3.75,2.25
73,72,78,78,-7,3.75,2.25
81,74,78,80,-7,3.75,2.25
80,74,71,78,-7,3.75,2.25
73,74,81,78,-7,3.75,2.25
74,72,78,83,-7,3.75,2.25
81,72,71,78,-7,3.75,2.25
81,74,71,78,-7,3.75,2.25
81,73,78,81,-7,3.75,2.25
73,73,80,81,-7,3.75,2.25
81,73,81,78,-7,3.75,2.25
78,82,80,82,-7,3.75,0.75
83,82,80,82,-7,3.75,0.75
83,82,80,82,-7,3.75,0.75
83,82,85,82,-7,3.75,0.75
82,82,79,82,-7,3.75,0.75
82,79,79,82,-7,3.75,0.75
80,79,79,82,-7,3.75,0.75
81,79,82,82,-7,3.75,0.75
79,77,80,78,-7,3.75,0.75
78,82,79,78,-7,3.75,0.75
80,83,79,82,-7,3.75,0.75
80,79,79,78,-7,3.75,0.75
81,77,79,78,-7,3.75,0.75
80,77,79,82,-7,3.75,0.75
80,79,79,83,-7,3.75,0.75
79,80,80,82,-7,3.75,0.75
79,83,79,82,-7,3.75,0.75
79,83,79,77,-7,3.75,0.75
76,84,77,75,-7,2.25,0.75
76,84,81,75,-7,2.25,0.75
72,84,81,75,-7,2.25,0.75
73,84,79,80,-7,2.25,0.75
72,84,78,80,-7,2.25,0.75
72,84,82,75,-7,2.25,0.75
76,84,81,75,-7,2.25,0.75
72,84,81,75,-7,2.25,0.75
73,84,78,75,-7,2.25,0.75
73,84,79,79,-7,2.25,0.75
73,84,79,75,-7,2.25,0.75
73,85,82,75,-7,2.25,0.75
76,87,82,79,-7,2.25,0.75
72,87,79,75,-7,2.25,0.75
76,87,78,75,-7,2.25,0.75
72,85,78,76,-7,2.25,0.75
76,89,79,72,-7,2.25,0.75
71,89,79,72,-7,2.25,0.75
77,89,81,73,-7,2.25,0.75
73,79,76,85,-7,2.25,2.25
73,79,75,85,-7,2.25,2.25
73,81,71,85,-7,2.25,2.25
75,81,71,84,-7,2.25,2.25
73,80,75,86,-7,2.25,2.25
73,80,76,84,-7,2.25,2.25
74,79,75,84,-7,2.25,2.25
74,79,76,84,-7,2.25,2.25
75,79,77,84,-7,2.25,2.25
75,78,70,84,-7,2.25,2.25
74,77,70,84,-7,2.25,2.25
74,80,76,84,-7,2.25,2.25
74,80,77,81,-7,2.25,2.25
74,81,74,81,-7,2.25,2.25
74,81,76,81,-7,2.25,2.25
83,81,78,77,-7,2.25,3.75
87,82,79,76,-7,2.25,3.75
81,79,80,89,-7,2.25,3.75
