RSS_1,RSS_3,RSS_4,RSS_5,TxPower,xRegression,yRegression
69,83,71,73,-6,0.75,0.75
77,83,75,65,-6,0.75,0.75
76,83,78,64,-6,0.75,0.75
76,82,78,64,-6,0.75,0.75
68,83,77,65,-6,0.75,0.75
76,83,76,65,-6,0.75,0.75
69,83,79,64,-6,0.75,0.75
67,83,77,73,-6,0.75,0.75
69,80,77,65,-6,0.75,0.75
69,80,72,64,-6,0.75,0.75
77,80,75,71,-6,0.75,0.75
77,81,81,71,-6,0.75,0.75
76,81,77,64,-6,0.75,0.75
76,85,76,71,-6,0.75,0.75
70,80,76,71,-6,0.75,0.75
68,81,73,70,-6,0.75,0.75
70,84,72,65,-6,0.75,0.75
68,84,78,65,-6,0.75,0.75
70,84,78,65,-6,0.75,0.75
77,84,72,71,-6,0.75,0.75
77,84,78,64,-6,0.75,0.75
68,80,77,64,-6,0.75,0.75
68,80,76,71,-6,0.75,0.75
70,80,78,64,-6,0.75,0.75
70,80,76,64,-6,0.75,0.75
77,80,76,64,-6,0.75,0.75
68,80,76,64,-6,0.75,0.75
77,84,76,64,-6,0.75,0.75
77,85,78,74,-6,0.75,0.75
68,92,78,68,-6,0.75,0.75
68,80,72,65,-6,0.75,0.75
78,84,76,64,-6,0.75,0.75
70,81,76,71,-6,0.75,0.75
77,84,76,65,-6,0.75,0.75
68,91,78,64,-6,0.75,0.75
68,91,72,71,-6,0.75,0.75
78,80,76,71,-6,0.75,0.75
78,81,72,71,-6,0.75,0.75
78,84,77,71,-6,0.75,0.75
70,84,72,71,-6,0.75,0.75
77,84,72,71,-6,0.75,0.75
70,84,76,64,-6,0.75,0.75
70,84,79,64,-6,0.75,0.75
70,81,76,64,-6,0.75,0.75
70,84,78,65,-6,0.75,0.75
70,80,76,65,-6,0.75,0.75
70,85,78,64,-6,0.75,0.75
69,85,72,74,-6,0.75,0.75
68,83,72,71,-6,0.75,0.75
77,81,76,71,-6,0.75,0.75
77,81,76,71,-6,0.75,0.75
68,80,72,69,-6,0.75,0.75
68,80,73,71,-6,0.75,0.75
70,85,77,64,-6,0.75,0.75
78,81,76,71,-6,0.75,0.75
78,84,73,71,-6,0.75,0.75
68,85,75,64,-6,0.75,0.75
68,81,73,64,-6,0.75,0.75
68,82,73,64,-6,0.75,0.75
77,83,72,71,-6,0.75,0.75
77,79,72,70,-6,0.75,0.75
69,85,72,70,-6,0.75,0.75
77,85,80,70,-6,0.75,0.75
77,81,76,70,-6,0.75,0.75
77,84,76,70,-6,0.75,0.75
77,82,78,71,-6,0.75,0.75
68,81,75,71,-6,0.75,0.75
68,83,75,64,-6,0.75,0.75
69,84,76,68,-6,0.75,0.75
78,85,78,64,-6,0.75,0.75
77,80,78,65,-6,0.75,0.75
68,84,76,65,-6,0.75,0.75
68,84,72,64,-6,0.75,0.75
70,84,79,64,-6,0.75,0.75
78,84,72,65,-6,0.75,0.75
68,84,73,64,-6,0.75,0.75
77,81,73,65,-6,0.75,0.75
78,83,72,64,-6,0.75,0.75
69,84,73,71,-6,0.75,0.75
77,80,77,65,-6,0.75,0.75
77,84,72,70,-6,0.75,0.75
77,80,78,65,-6,0.75,0.75
68,84,73,65,-6,0.75,0.75
68,83,78,65,-6,0.75,0.75
68,81,72,64,-6,0.75,0.75
68,85,72,64,-6,0.75,0.75
68,80,72,64,-6,0.75,0.75
68,80,73,65,-6,0.75,0.75
77,81,72,64,-6,0.75,0.75
68,84,72,64,-6,0.75,0.75
68,84,76,71,-6,0.75,0.75
