RSS_1,RSS_3,RSS_4,RSS_5,TxPower,xRegression,yRegression
69,85,89,86,-6,11.25,0.75
75,85,86,87,-6,11.25,0.75
76,85,88,86,-6,11.25,0.75
67,83,88,86,-6,11.25,0.75
72,83,88,87,-6,11.25,0.75
72,80,86,87,-6,11.25,0.75
72,84,88,87,-6,11.25,0.75
69,82,88,87,-6,11.25,0.75
69,83,88,86,-6,11.25,0.75
70,81,83,90,-6,9.75,0.75
71,81,84,87,-6,9.75,0.75
70,81,82,87,-6,9.75,0.75
67,82,87,84,-6,9.75,0.75
68,82,82,84,-6,9.75,0.75
68,82,84,87,-6,9.75,0.75
67,82,83,85,-6,9.75,0.75
67,85,83,85,-6,9.75,0.75
70,83,80,85,-6,9.75,0.75
66,83,85,89,-6,9.75,0.75
69,83,85,81,-6,9.75,0.75
67,81,84,81,-6,9.75,0.75
71,82,80,87,-6,8.25,0.75
80,79,80,87,-6,8.25,0.75
80,80,83,87,-6,8.25,0.75
77,77,87,87,-6,8.25,0.75
80,77,80,88,-6,8.25,0.75
78,84,86,86,-6,8.25,0.75
78,84,84,85,-6,8.25,0.75
78,85,87,85,-6,8.25,0.75
75,85,87,86,-6,8.25,0.75
75,74,76,87,-6,8.25,0.75
73,83,78,88,-6,8.25,0.75
79,83,79,88,-6,8.25,0.75
79,77,82,86,-6,8.25,0.75
73,77,85,86,-6,8.25,0.75
71,74,81,86,-6,8.25,0.75
74,70,82,82,-6,6.75,0.75
74,70,74,82,-6,6.75,0.75
71,70,78,81,-6,6.75,0.75
85,69,85,81,-6,6.75,0.75
69,70,78,87,-6,6.75,0.75
69,70,83,81,-6,6.75,0.75
70,78,77,81,-6,6.75,0.75
72,73,78,82,-6,6.75,0.75
70,78,77,82,-6,6.75,0.75
70,78,77,82,-6,6.75,0.75
68,69,85,87,-6,6.75,0.75
80,69,79,87,-6,6.75,0.75
69,76,83,83,-6,6.75,0.75
77,70,76,81,-6,6.75,0.75
76,70,78,86,-6,6.75,0.75
82,74,80,90,-6,5.25,0.75
85,77,79,90,-6,5.25,0.75
85,68,79,87,-6,5.25,0.75
85,68,83,81,-6,5.25,0.75
85,78,76,83,-6,5.25,0.75
85,68,76,86,-6,5.25,0.75
72,76,81,82,-6,5.25,0.75
73,78,81,88,-6,5.25,0.75
86,69,76,88,-6,5.25,0.75
72,69,82,89,-6,5.25,0.75
72,69,82,89,-6,5.25,0.75
73,78,87,88,-6,5.25,0.75
83,78,79,89,-6,5.25,0.75
74,68,77,79,-6,3.75,0.75
78,68,82,91,-6,3.75,0.75
79,66,78,91,-6,3.75,0.75
82,66,78,91,-6,3.75,0.75
82,68,75,79,-6,3.75,0.75
82,66,79,78,-6,3.75,0.75
82,66,79,78,-6,3.75,0.75
76,65,79,78,-6,3.75,0.75
76,68,81,89,-6,3.75,0.75
