RSS_1,RSS_3,RSS_4,RSS_5,TxPower,xRegression,yRegression
65,80,89,88,-7,11.25,0.75
64,80,89,88,-7,11.25,0.75
69,80,89,88,-7,11.25,0.75
63,80,87,87,-7,11.25,0.75
65,80,87,87,-7,11.25,0.75
65,80,88,87,-7,11.25,0.75
65,82,86,87,-7,11.25,0.75
69,82,90,87,-7,11.25,0.75
69,82,90,86,-7,11.25,0.75
67,84,80,86,-7,9.75,0.75
68,84,81,88,-7,9.75,0.75
66,84,77,88,-7,9.75,0.75
65,85,77,87,-7,9.75,0.75
71,85,78,87,-7,9.75,0.75
71,85,83,90,-7,9.75,0.75
71,85,81,90,-7,9.75,0.75
71,87,81,90,-7,9.75,0.75
68,88,79,90,-7,9.75,0.75
72,88,85,82,-7,9.75,0.75
74,88,85,87,-7,9.75,0.75
62,89,82,82,-7,9.75,0.75
72,84,80,85,-7,8.25,0.75
77,83,77,85,-7,8.25,0.75
77,82,79,86,-7,8.25,0.75
82,82,80,86,-7,8.25,0.75
78,82,85,89,-7,8.25,0.75
75,83,79,86,-7,8.25,0.75
75,83,78,88,-7,8.25,0.75
79,85,78,88,-7,8.25,0.75
71,85,79,85,-7,8.25,0.75
68,83,79,90,-7,8.25,0.75
76,84,79,83,-7,8.25,0.75
68,84,77,83,-7,8.25,0.75
68,86,76,88,-7,8.25,0.75
79,86,76,88,-7,8.25,0.75
78,80,76,88,-7,8.25,0.75
79,78,74,87,-7,6.75,0.75
79,78,71,87,-7,6.75,0.75
77,78,81,91,-7,6.75,0.75
74,82,75,91,-7,6.75,0.75
74,82,73,86,-7,6.75,0.75
74,80,72,86,-7,6.75,0.75
75,79,73,86,-7,6.75,0.75
75,80,71,89,-7,6.75,0.75
77,82,70,88,-7,6.75,0.75
77,79,73,88,-7,6.75,0.75
79,80,80,86,-7,6.75,0.75
74,80,81,86,-7,6.75,0.75
79,80,74,89,-7,6.75,0.75
76,82,72,89,-7,6.75,0.75
76,82,72,89,-7,6.75,0.75
78,70,72,81,-7,5.25,0.75
82,73,72,81,-7,5.25,0.75
82,71,72,84,-7,5.25,0.75
82,71,76,84,-7,5.25,0.75
82,71,74,84,-7,5.25,0.75
82,70,76,86,-7,5.25,0.75
85,71,75,83,-7,5.25,0.75
83,89,75,82,-7,5.25,0.75
82,72,75,86,-7,5.25,0.75
83,71,76,84,-7,5.25,0.75
83,71,76,86,-7,5.25,0.75
82,88,73,86,-7,5.25,0.75
83,71,79,84,-7,5.25,0.75
78,76,79,78,-7,3.75,0.75
74,76,78,78,-7,3.75,0.75
74,74,78,78,-7,3.75,0.75
83,74,78,78,-7,3.75,0.75
74,76,80,78,-7,3.75,0.75
74,76,76,79,-7,3.75,0.75
72,75,73,77,-7,3.75,0.75
71,76,73,77,-7,3.75,0.75
71,74,74,78,-7,3.75,0.75
72,73,74,78,-7,3.75,0.75
72,71,73,78,-7,3.75,0.75
72,76,73,85,-7,3.75,0.75
72,75,73,85,-7,3.75,0.75
72,75,86,85,-7,3.75,0.75
81,72,73,81,-7,2.25,0.75
84,75,73,75,-7,2.25,0.75
84,76,75,80,-7,2.25,0.75
86,76,75,87,-7,2.25,0.75
86,76,75,87,-7,2.25,0.75
80,76,86,84,-7,2.25,0.75
82,80,73,80,-7,2.25,0.75
80,80,83,84,-7,2.25,0.75
77,80,81,84,-7,2.25,0.75
77,80,84,83,-7,2.25,0.75
78,80,81,83,-7,2.25,0.75
78,80,85,83,-7,2.25,0.75
79,84,84,82,-7,2.25,0.75
78,84,84,82,-7,2.25,0.75
79,84,83,81,-7,2.25,0.75
79,79,81,81,-7,2.25,0.75
78,79,74,81,-7,2.25,0.75
78,82,74,86,-7,2.25,0.75
79,82,75,86,-7,2.25,0.75
81,82,74,86,-7,2.25,0.75
81,83,76,77,-7,0.75,0.75
81,83,76,77,-7,0.75,0.75
75,80,79,77,-7,0.75,0.75
80,80,76,77,-7,0.75,0.75
80,80,76,77,-7,0.75,0.75
79,80,76,76,-7,0.75,0.75
81,86,79,76,-7,0.75,0.75
82,86,76,77,-7,0.75,0.75
82,80,79,77,-7,0.75,0.75
80,80,79,89,-7,0.75,0.75
77,80,75,77,-7,0.75,0.75
83,80,77,76,-7,0.75,0.75
83,80,77,76,-7,0.75,0.75
83,85,77,77,-7,0.75,0.75
81,83,79,76,-7,0.75,0.75
81,88,86,84,-7,0.75,0.75
81,88,83,84,-7,0.75,0.75
82,87,83,84,-7,0.75,0.75
77,90,88,81,-7,0.75,2.25
74,90,83,80,-7,0.75,2.25
77,90,82,80,-7,0.75,2.25
77,78,82,72,-7,0.75,2.25
77,78,88,67,-7,0.75,2.25
79,78,81,80,-7,0.75,2.25
78,77,81,67,-7,0.75,2.25
79,81,79,71,-7,0.75,3.75
80,84,79,71,-7,0.75,3.75
80,84,78,71,-7,0.75,3.75
80,84,78,70,-7,0.75,3.75
76,80,78,72,-7,0.75,3.75
77,80,79,72,-7,0.75,3.75
78,87,79,72,-7,0.75,3.75
78,79,79,74,-7,0.75,3.75
81,80,78,85,-7,2.25,3.75
82,74,81,84,-7,2.25,3.75
80,74,81,77,-7,2.25,3.75
80,74,84,82,-7,2.25,3.75
79,89,81,82,-7,2.25,3.75
79,89,81,76,-7,2.25,3.75
81,83,79,76,-7,2.25,3.75
80,73,79,83,-7,2.25,3.75
81,73,80,83,-7,2.25,3.75
79,74,85,80,-7,2.25,3.75
80,74,85,80,-7,2.25,3.75
77,89,78,82,-7,3.75,2.25
74,89,78,82,-7,3.75,2.25
73,89,80,82,-7,3.75,2.25
77,89,79,82,-7,3.75,2.25
73,88,79,82,-7,3.75,2.25
73,88,82,73,-7,3.75,2.25
77,88,79,75,-7,3.75,2.25
73,88,80,84,-7,3.75,2.25
73,88,80,80,-7,3.75,2.25
73,89,79,82,-7,3.75,2.25
73,89,79,84,-7,3.75,2.25
73,90,82,85,-7,3.75,2.25
76,75,73,69,-7,5.25,2.25
78,74,86,89,-7,5.25,2.25
75,74,87,73,-7,5.25,2.25
79,76,73,73,-7,5.25,2.25
79,76,73,73,-7,5.25,2.25
74,76,73,69,-7,5.25,2.25
74,76,74,73,-7,5.25,2.25
74,76,73,73,-7,5.25,2.25
74,76,73,69,-7,5.25,2.25
79,75,73,69,-7,5.25,2.25
82,74,80,89,-7,6.75,2.25
73,73,80,85,-7,6.75,2.25
73,79,83,85,-7,6.75,2.25
73,72,83,85,-7,6.75,2.25
74,80,80,84,-7,6.75,2.25
74,80,79,77,-7,6.75,2.25
73,71,81,83,-7,6.75,2.25
73,71,80,83,-7,6.75,2.25
81,71,76,83,-7,6.75,2.25
81,79,80,83,-7,6.75,2.25
73,79,78,83,-7,6.75,2.25
70,82,82,85,-7,6.75,3.75
70,82,74,85,-7,6.75,3.75
70,82,74,88,-7,6.75,3.75
69,82,74,84,-7,6.75,3.75
70,82,81,84,-7,6.75,3.75
70,80,75,85,-7,6.75,3.75
78,80,82,78,-7,6.75,3.75
78,82,82,78,-7,6.75,3.75
71,85,81,85,-7,6.75,3.75
81,85,81,85,-7,6.75,3.75
77,85,87,84,-7,6.75,3.75
79,84,76,84,-7,6.75,3.75
67,79,75,83,-7,8.25,3.75
66,79,74,83,-7,8.25,3.75
80,82,74,83,-7,8.25,3.75
81,80,75,83,-7,8.25,3.75
78,80,75,83,-7,8.25,3.75
78,80,74,84,-7,8.25,3.75
78,82,74,83,-7,8.25,3.75
66,81,74,83,-7,8.25,3.75
66,75,75,83,-7,8.25,3.75
79,75,74,83,-7,8.25,3.75
66,75,74,83,-7,8.25,3.75
65,78,74,83,-7,8.25,3.75
79,78,74,78,-7,8.25,3.75
67,77,73,78,-7,8.25,3.75
81,77,73,79,-7,8.25,3.75
65,78,73,79,-7,8.25,3.75
68,89,76,76,-7,9.75,3.75
70,89,76,84,-7,9.75,3.75
70,89,75,84,-7,9.75,3.75
70,89,75,85,-7,9.75,3.75
64,75,76,83,-7,9.75,3.75
64,74,80,83,-7,9.75,3.75
64,74,80,83,-7,9.75,3.75
70,74,81,83,-7,9.75,3.75
70,74,81,83,-7,9.75,3.75
70,74,81,83,-7,9.75,3.75
70,81,82,83,-7,9.75,3.75
70,82,76,83,-7,9.75,3.75
64,82,76,83,-7,9.75,3.75
61,87,80,81,-7,11.25,3.75
61,86,79,81,-7,11.25,3.75
61,86,79,83,-7,11.25,3.75
61,86,79,83,-7,11.25,3.75
60,85,81,82,-7,11.25,3.75
61,84,80,82,-7,11.25,3.75
60,84,79,82,-7,11.25,3.75
60,84,78,82,-7,11.25,3.75
66,83,79,82,-7,11.25,3.75
66,87,86,80,-7,11.25,3.75
66,87,79,81,-7,11.25,3.75
61,80,83,84,-7,11.25,3.75
60,82,89,82,-7,11.25,3.75
81,88,88,85,-7,12.75,3.75
81,88,88,85,-7,12.75,3.75
81,88,88,85,-7,12.75,3.75
84,88,88,85,-7,12.75,3.75
84,88,88,85,-7,12.75,3.75
80,87,88,85,-7,12.75,3.75
80,87,88,85,-7,12.75,3.75
82,87,88,85,-7,12.75,3.75
82,87,88,85,-7,12.75,3.75
80,85,88,85,-7,12.75,3.75
