RSS_1,RSS_3,RSS_4,RSS_5,TxPower,xRegression,yRegression
78,84,89,84,-7,0.75,0.75
72,84,81,84,-7,0.75,0.75
72,84,82,79,-7,0.75,0.75
72,84,80,79,-7,0.75,0.75
72,83,80,79,-7,0.75,0.75
72,82,81,79,-7,0.75,0.75
72,82,83,80,-7,0.75,0.75
72,79,83,80,-7,0.75,0.75
71,83,85,82,-7,0.75,0.75
70,81,83,81,-7,0.75,0.75
70,81,82,86,-7,0.75,0.75
71,82,84,86,-7,0.75,0.75
76,82,82,86,-7,0.75,0.75
75,76,85,79,-7,0.75,0.75
75,82,82,81,-7,0.75,0.75
72,80,83,81,-7,0.75,0.75
72,77,83,81,-7,0.75,0.75
71,81,83,81,-7,0.75,0.75
71,81,85,81,-7,0.75,0.75
73,81,85,81,-7,0.75,0.75
73,82,85,81,-7,0.75,0.75
73,82,86,81,-7,0.75,0.75
73,77,81,81,-7,0.75,0.75
77,77,81,81,-7,0.75,0.75
70,77,81,81,-7,0.75,0.75
72,80,81,81,-7,0.75,0.75
72,80,81,85,-7,0.75,0.75
79,84,81,81,-7,0.75,0.75
77,80,81,80,-7,0.75,0.75
70,76,82,80,-7,0.75,0.75
77,80,80,80,-7,0.75,0.75
77,80,82,80,-7,0.75,0.75
73,76,83,85,-7,0.75,0.75
73,83,82,85,-7,0.75,0.75
71,80,82,79,-7,0.75,0.75
70,80,82,86,-7,0.75,0.75
70,80,82,86,-7,0.75,0.75
70,82,82,80,-7,0.75,0.75
75,80,82,81,-7,0.75,0.75
69,80,82,81,-7,0.75,0.75
71,82,83,79,-7,0.75,0.75
76,80,89,79,-7,0.75,0.75
76,76,81,81,-7,0.75,0.75
72,76,81,81,-7,0.75,0.75
72,80,83,81,-7,0.75,0.75
77,79,83,80,-7,0.75,0.75
73,79,83,85,-7,0.75,0.75
76,80,84,85,-7,0.75,0.75
69,82,84,80,-7,0.75,0.75
72,80,83,86,-7,0.75,0.75
77,80,81,81,-7,0.75,0.75
71,80,83,84,-7,0.75,0.75
70,83,83,81,-7,0.75,0.75
70,77,83,81,-7,0.75,0.75
71,77,82,81,-7,0.75,0.75
70,77,82,80,-7,0.75,0.75
78,80,82,80,-7,0.75,0.75
77,76,82,84,-7,0.75,0.75
71,76,83,81,-7,0.75,0.75
70,76,83,85,-7,0.75,0.75
70,80,81,85,-7,0.75,0.75
72,79,81,85,-7,0.75,0.75
77,79,81,80,-7,0.75,0.75
