RSS_1,RSS_3,RSS_4,RSS_5,TxPower,xRegression,yRegression
76,85,82,68,-10,0.75,0.75
76,85,82,68,-10,0.75,0.75
76,85,82,68,-10,0.75,0.75
76,85,82,68,-10,0.75,0.75
76,84,82,68,-10,0.75,0.75
76,85,83,71,-10,0.75,0.75
76,85,83,68,-10,0.75,0.75
77,87,83,68,-10,0.75,0.75
76,85,83,71,-10,0.75,0.75
76,87,82,71,-10,0.75,0.75
76,87,83,71,-10,0.75,0.75
76,84,83,71,-10,0.75,0.75
81,84,83,68,-10,0.75,0.75
76,86,83,68,-10,0.75,0.75
76,85,91,68,-10,0.75,0.75
82,85,89,68,-10,0.75,0.75
74,85,83,71,-10,0.75,0.75
75,86,83,71,-10,0.75,0.75
76,86,83,71,-10,0.75,0.75
79,85,83,68,-10,0.75,0.75
79,85,83,68,-10,0.75,0.75
79,85,91,68,-10,0.75,0.75
79,86,90,68,-10,0.75,0.75
75,86,90,68,-10,0.75,0.75
76,86,90,68,-10,0.75,0.75
77,84,82,71,-10,0.75,0.75
77,84,82,68,-10,0.75,0.75
80,84,82,68,-10,0.75,0.75
80,84,82,68,-10,0.75,0.75
80,84,84,68,-10,0.75,0.75
77,86,84,71,-10,0.75,0.75
77,87,83,71,-10,0.75,0.75
76,86,83,68,-10,0.75,0.75
76,86,83,68,-10,0.75,0.75
81,87,83,68,-10,0.75,0.75
83,85,90,71,-10,0.75,0.75
83,83,84,68,-10,0.75,0.75
77,84,84,68,-10,0.75,0.75
82,84,84,68,-10,0.75,0.75
77,84,84,68,-10,0.75,0.75
77,85,82,68,-10,0.75,0.75
77,86,84,68,-10,0.75,0.75
81,86,84,71,-10,0.75,0.75
80,86,84,73,-10,0.75,0.75
80,85,83,73,-10,0.75,0.75
77,85,83,68,-10,0.75,0.75
76,85,83,71,-10,0.75,0.75
76,84,84,71,-10,0.75,0.75
79,84,84,68,-10,0.75,0.75
80,85,84,71,-10,0.75,0.75
79,85,82,68,-10,0.75,0.75
80,85,82,71,-10,0.75,0.75
76,83,82,71,-10,0.75,0.75
75,83,82,68,-10,0.75,0.75
75,83,81,68,-10,0.75,0.75
80,83,81,67,-10,0.75,0.75
80,84,81,68,-10,0.75,0.75
80,85,81,68,-10,0.75,0.75
80,85,84,68,-10,0.75,0.75
