RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,xRegression,yRegression
77,200,200,200,62,81,-6,0.75,0.75
74,200,83,78,61,82,-6,0.75,0.75
74,74,83,82,62,89,-6,0.75,0.75
83,74,83,82,62,87,-6,0.75,0.75
83,74,83,84,72,87,-6,0.75,0.75
72,71,82,80,72,88,-6,0.75,0.75
79,71,82,80,72,88,-6,0.75,0.75
75,71,81,80,61,83,-6,0.75,0.75
82,79,82,78,71,83,-6,0.75,0.75
77,79,80,78,72,85,-6,0.75,0.75
77,79,83,79,75,83,-6,0.75,0.75
77,78,81,79,71,87,-6,0.75,0.75
78,71,82,79,71,88,-6,0.75,0.75
78,73,79,86,61,83,-6,0.75,0.75
75,74,81,84,61,83,-6,0.75,0.75
77,73,81,79,62,82,-6,0.75,0.75
75,71,80,83,62,88,-6,0.75,0.75
75,74,80,83,61,86,-6,0.75,0.75
75,79,80,83,61,86,-6,0.75,0.75
78,79,80,87,61,86,-6,0.75,0.75
75,74,80,75,62,85,-6,0.75,0.75
80,78,81,79,72,85,-6,0.75,0.75
80,71,80,79,62,85,-6,0.75,0.75
80,78,80,90,62,85,-6,0.75,0.75
73,78,80,90,62,85,-6,0.75,0.75
83,71,80,81,62,84,-6,0.75,0.75
84,71,80,89,62,84,-6,0.75,0.75
84,72,81,89,74,84,-6,0.75,0.75
88,72,82,89,71,87,-6,0.75,0.75
77,72,82,82,62,83,-6,0.75,0.75
75,78,82,80,75,83,-6,0.75,0.75
75,72,81,80,75,84,-6,0.75,0.75
80,72,77,84,71,85,-6,0.75,0.75
76,71,83,80,71,85,-6,0.75,0.75
79,76,83,88,74,85,-6,0.75,0.75
78,76,81,81,71,88,-6,0.75,0.75
78,76,81,81,71,83,-6,0.75,0.75
74,78,81,81,62,85,-6,0.75,0.75
83,77,79,84,62,90,-6,0.75,0.75
83,71,79,83,62,85,-6,0.75,0.75
83,71,81,83,61,85,-6,0.75,0.75
83,78,82,83,71,85,-6,0.75,0.75
83,72,81,83,62,83,-6,0.75,0.75
80,72,80,88,62,83,-6,0.75,0.75
76,72,79,78,71,83,-6,0.75,0.75
73,72,79,78,61,83,-6,0.75,0.75
