RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,xRegression,yRegression
75,75,72,90,92,88,-6,6.75,2.25
71,73,71,90,92,88,-6,6.75,2.25
79,74,72,85,92,90,-6,6.75,2.25
75,74,71,85,92,87,-6,6.75,2.25
70,68,71,89,84,88,-6,6.75,2.25
70,75,71,79,86,91,-6,6.75,2.25
73,74,86,79,86,87,-6,6.75,2.25
73,74,86,79,89,87,-6,6.75,2.25
73,80,78,86,87,90,-6,6.75,2.25
71,71,84,78,84,83,-6,6.75,2.25
83,80,81,83,84,85,-6,6.75,2.25
75,80,81,82,87,85,-6,6.75,2.25
74,80,84,82,87,81,-6,6.75,2.25
79,80,80,81,87,88,-6,6.75,2.25
76,79,76,81,87,88,-6,6.75,2.25
75,79,76,82,83,88,-6,6.75,2.25
71,79,76,73,86,88,-6,6.75,2.25
70,80,76,77,79,80,-6,6.75,2.25
70,88,76,77,80,82,-6,6.75,2.25
77,80,80,83,84,83,-6,5.25,2.25
81,80,73,78,76,87,-6,5.25,2.25
82,80,79,82,76,84,-6,5.25,2.25
77,75,78,82,85,80,-6,5.25,2.25
79,84,78,81,88,80,-6,5.25,2.25
79,75,80,80,76,88,-6,5.25,2.25
84,82,80,81,75,81,-6,5.25,2.25
80,82,72,78,88,81,-6,5.25,2.25
80,82,79,83,88,83,-6,5.25,2.25
74,82,72,81,88,83,-6,5.25,2.25
74,79,73,85,77,80,-6,5.25,2.25
73,83,78,85,83,82,-6,5.25,2.25
78,78,75,78,83,89,-6,5.25,2.25
77,85,81,84,89,89,-6,5.25,2.25
75,85,81,84,85,81,-6,5.25,2.25
81,77,76,78,90,83,-6,5.25,2.25
80,86,81,78,86,83,-6,5.25,2.25
74,86,72,82,88,81,-6,5.25,2.25
80,78,86,200,73,72,-6,3.75,3.75
83,84,86,80,85,72,-6,3.75,3.75
80,84,88,79,73,71,-6,3.75,3.75
82,84,78,79,72,73,-6,3.75,3.75
76,84,84,79,85,73,-6,3.75,3.75
85,81,87,79,72,73,-6,3.75,3.75
