RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,Label_Classification
75,200,200,200,73,90,-10,A1
86,200,83,85,73,82,-10,A1
86,80,83,84,73,82,-10,A1
77,78,83,85,70,82,-10,A1
77,80,83,77,70,82,-10,A1
80,80,92,85,70,80,-10,A1
80,81,92,85,68,90,-10,A1
76,78,84,78,70,83,-10,A1
74,80,84,78,70,83,-10,A1
83,80,84,78,68,89,-10,A1
83,80,84,85,70,89,-10,A1
83,80,84,85,73,86,-10,A1
85,78,84,84,70,86,-10,A1
76,78,84,78,70,87,-10,A1
76,78,84,78,70,87,-10,A1
85,79,84,78,68,88,-10,A1
85,79,85,78,68,88,-10,A1
85,81,92,77,68,84,-10,A1
85,80,92,77,68,84,-10,A1
75,80,92,78,68,88,-10,A1
75,80,92,85,73,89,-10,A1
76,80,84,77,70,88,-10,A1
83,80,84,78,70,88,-10,A1
83,78,84,85,70,89,-10,A1
76,78,83,85,73,87,-10,A1
83,78,83,83,73,88,-10,A1
83,78,84,78,70,88,-10,A1
83,78,84,78,70,88,-10,A1
77,80,85,78,73,82,-10,A1
80,80,85,77,70,89,-10,A1
80,80,83,78,73,89,-10,A1
76,78,86,79,73,89,-10,A1
76,79,86,78,70,89,-10,A1
76,77,83,77,70,89,-10,A1
75,77,83,77,73,89,-10,A1
75,77,84,79,73,82,-10,A1
75,77,85,79,73,90,-10,A1
83,78,85,79,70,82,-10,A1
83,78,83,79,73,89,-10,A1
83,80,83,85,68,82,-10,A1
83,80,83,85,70,82,-10,A1
87,78,83,85,68,82,-10,A1
75,78,83,85,70,87,-10,A1
88,78,84,79,70,87,-10,A1
88,80,86,77,73,87,-10,A1
76,80,86,77,73,82,-10,A1
76,78,86,79,73,82,-10,A1
81,79,85,77,68,82,-10,A1
77,78,85,77,68,82,-10,A1
86,78,85,79,68,89,-10,A1
86,78,84,79,68,89,-10,A1
76,78,84,79,68,83,-10,A1
76,80,84,85,68,83,-10,A1
81,80,84,85,68,83,-10,A1
80,80,84,84,68,83,-10,A1
82,78,84,79,68,83,-10,A1
85,78,83,79,70,89,-10,A1
85,81,84,79,73,89,-10,A1
77,81,84,77,73,87,-10,A1
77,78,84,77,73,87,-10,A1
77,78,90,77,73,87,-10,A1
76,78,90,77,67,87,-10,A1
76,78,86,77,67,87,-10,A1
76,78,83,77,67,87,-10,A1
75,81,83,77,73,89,-10,A1
82,78,85,77,73,89,-10,A1
82,78,85,77,68,87,-10,A1
87,78,83,77,68,87,-10,A1
87,77,92,77,68,82,-10,A1
87,78,92,84,73,82,-10,A1
76,78,92,79,73,82,-10,A1
75,78,83,85,68,82,-10,A1
75,80,83,85,68,82,-10,A1
75,80,83,78,73,82,-10,A1
76,80,83,77,73,82,-10,A1
76,81,84,77,70,83,-10,A1
76,80,84,78,73,83,-10,A1
74,80,84,79,73,83,-10,A1
74,80,82,85,70,88,-10,A1
75,80,82,78,68,88,-10,A1
75,79,82,78,68,88,-10,A1
83,80,82,77,68,88,-10,A1
83,81,82,85,73,83,-10,A1
80,80,84,77,70,83,-10,A1
80,78,84,84,73,82,-10,A1
85,78,84,84,73,82,-10,A1
76,78,84,84,73,89,-10,A1
87,78,86,78,73,82,-10,A1
75,78,86,85,68,83,-10,A1
82,78,86,77,70,82,-10,A1
82,78,83,84,73,83,-10,A1
84,78,83,79,70,82,-10,A1
75,77,89,79,68,82,-10,A1
76,77,89,79,68,88,-10,A1
76,81,89,84,71,82,-10,A1
76,81,89,84,71,82,-10,A1
74,78,85,84,71,83,-10,A1
74,78,85,84,71,83,-10,A1
74,79,85,79,70,87,-10,A1
75,80,84,77,68,86,-10,A1
75,81,84,77,69,86,-10,A1
75,78,83,77,68,86,-10,A1
86,78,83,77,73,83,-10,A1
75,78,84,77,73,83,-10,A1
84,77,84,78,73,87,-10,A1
84,77,84,78,73,87,-10,A1
79,80,90,77,70,87,-10,A1
79,78,83,85,68,88,-10,A1
82,78,84,79,68,88,-10,A1
82,77,84,79,70,88,-10,A1
82,77,83,79,68,88,-10,A1
82,77,83,77,68,82,-10,A1
83,77,83,80,73,86,-10,A1
82,77,83,80,68,86,-10,A1
81,80,83,79,68,86,-10,A1
81,78,83,79,68,86,-10,A1
75,78,83,79,73,87,-10,A1
82,80,84,84,70,87,-10,A1
75,80,84,84,70,82,-10,A1
75,77,83,84,67,86,-10,A1
75,77,83,84,67,86,-10,A1
75,77,83,84,67,86,-10,A1
75,80,83,79,70,86,-10,A1
74,78,83,79,73,88,-10,A1
83,80,83,77,73,87,-10,A1
83,80,83,85,68,82,-10,A1
83,80,83,79,68,82,-10,A1
82,78,84,77,68,82,-10,A1
82,78,84,77,68,88,-10,A1
76,78,84,79,73,86,-10,A1
75,80,84,79,73,82,-10,A1
82,80,84,77,73,82,-10,A1
83,78,84,85,70,82,-10,A1
83,78,84,85,70,82,-10,A1
83,78,84,85,73,82,-10,A1
75,78,84,85,70,82,-10,A1
75,78,84,85,70,82,-10,A1
75,78,84,79,70,82,-10,A1
82,78,84,79,70,82,-10,A1
82,78,83,79,70,84,-10,A1
76,78,84,77,70,84,-10,A1
76,81,84,84,73,84,-10,A1
82,78,84,79,68,84,-10,A1
76,78,84,79,73,89,-10,A1
84,81,84,79,73,82,-10,A1
82,80,82,85,73,89,-10,A1
76,78,91,77,70,84,-10,A1
76,80,92,77,73,84,-10,A1
77,78,92,77,73,84,-10,A1
77,78,92,79,73,84,-10,A1
76,78,84,79,73,86,-10,A1
76,78,84,77,70,87,-10,A1
76,78,84,79,70,87,-10,A1
76,78,84,79,68,87,-10,A1
76,78,84,77,68,87,-10,A1
75,78,84,77,68,87,-10,A1
75,79,84,79,73,87,-10,A1
82,78,83,79,73,87,-10,A1
75,78,83,83,70,82,-10,A1
75,78,83,83,73,82,-10,A1
84,80,84,84,73,82,-10,A1
76,78,84,84,73,87,-10,A1
76,78,84,84,70,87,-10,A1
76,80,91,79,70,87,-10,A1
76,78,91,84,73,87,-10,A1
75,78,91,77,73,82,-10,A1
81,78,91,79,73,82,-10,A1
81,78,84,84,70,82,-10,A1
75,78,84,84,70,88,-10,A1
75,80,84,85,68,88,-10,A1
81,80,84,77,68,88,-10,A1
82,80,84,77,68,88,-10,A1
87,78,84,77,68,90,-10,A1
87,78,84,77,70,90,-10,A1
