RSS_1,RSS_3,RSS_4,RSS_5,TxPower,xRegression,yRegression
84,86,74,75,-6,5.25,2.25
75,75,74,67,-6,5.25,2.25
77,75,74,67,-6,5.25,2.25
79,75,74,67,-6,5.25,2.25
76,75,74,68,-6,5.25,2.25
78,75,77,68,-6,5.25,2.25
78,75,78,65,-6,5.25,2.25
78,85,79,65,-6,5.25,2.25
89,85,79,65,-6,5.25,2.25
89,85,77,66,-6,5.25,2.25
79,77,77,66,-6,5.25,2.25
79,77,77,68,-6,5.25,2.25
79,77,77,67,-6,5.25,2.25
79,74,77,67,-6,5.25,2.25
64,71,68,79,-6,6.75,2.25
69,71,69,79,-6,6.75,2.25
67,79,65,79,-6,6.75,2.25
65,79,66,83,-6,6.75,2.25
65,79,66,80,-6,6.75,2.25
65,79,71,75,-6,6.75,2.25
73,71,71,80,-6,6.75,2.25
73,71,67,84,-6,6.75,2.25
62,71,68,84,-6,6.75,2.25
62,74,68,78,-6,6.75,2.25
62,74,68,76,-6,6.75,2.25
73,74,68,79,-6,6.75,2.25
72,74,68,79,-6,6.75,2.25
68,74,68,85,-6,6.75,2.25
68,71,67,85,-6,6.75,2.25
71,73,67,85,-6,6.75,2.25
71,70,81,88,-6,8.25,2.25
65,70,81,88,-6,8.25,2.25
65,70,81,88,-6,8.25,2.25
65,70,78,82,-6,8.25,2.25
78,75,78,82,-6,8.25,2.25
80,69,78,82,-6,8.25,2.25
72,69,79,86,-6,8.25,2.25
72,69,82,86,-6,8.25,2.25
72,69,81,83,-6,8.25,2.25
72,69,81,83,-6,8.25,2.25
72,76,80,80,-6,8.25,2.25
72,70,77,82,-6,8.25,2.25
67,70,77,82,-6,8.25,2.25
71,70,77,82,-6,8.25,2.25
71,70,81,82,-6,8.25,2.25
71,70,82,82,-6,8.25,2.25
75,70,82,82,-6,8.25,2.25
75,70,82,87,-6,8.25,2.25
71,70,79,87,-6,8.25,2.25
82,75,83,75,-6,8.25,3.75
82,73,83,75,-6,8.25,3.75
82,73,79,78,-6,8.25,3.75
78,74,84,78,-6,8.25,3.75
77,75,84,75,-6,8.25,3.75
77,73,84,75,-6,8.25,3.75
77,73,84,77,-6,8.25,3.75
79,74,83,75,-6,8.25,3.75
79,74,81,77,-6,8.25,3.75
79,74,78,77,-6,8.25,3.75
79,74,78,77,-6,8.25,3.75
79,74,82,77,-6,8.25,3.75
79,74,82,75,-6,8.25,3.75
83,74,87,77,-6,8.25,3.75
75,74,79,75,-6,8.25,3.75
75,74,79,75,-6,8.25,3.75
68,74,68,75,-6,8.25,3.75
69,74,79,75,-6,8.25,3.75
71,80,79,86,-6,8.25,3.75
71,76,84,86,-6,8.25,3.75
71,76,84,86,-6,8.25,3.75
71,76,79,86,-6,8.25,3.75
69,76,81,81,-6,6.75,3.75
84,76,82,81,-6,6.75,3.75
81,77,75,81,-6,6.75,3.75
73,76,75,81,-6,6.75,3.75
74,76,75,81,-6,6.75,3.75
74,82,80,82,-6,6.75,3.75
78,82,76,84,-6,6.75,3.75
71,82,76,83,-6,6.75,3.75
75,82,83,83,-6,6.75,3.75
75,77,77,83,-6,6.75,3.75
87,83,77,83,-6,6.75,3.75
87,83,82,83,-6,6.75,3.75
87,83,78,83,-6,6.75,3.75
87,83,80,83,-6,6.75,3.75
87,83,80,89,-6,6.75,3.75
73,75,79,92,-6,6.75,3.75
73,75,78,85,-6,6.75,3.75
72,85,76,85,-6,6.75,3.75
78,85,76,85,-6,6.75,3.75
78,85,76,85,-6,6.75,3.75
78,81,83,88,-6,6.75,3.75
71,81,77,88,-6,6.75,3.75
71,81,76,88,-6,6.75,3.75
70,86,76,85,-6,6.75,3.75
71,80,76,85,-6,6.75,3.75
87,85,77,83,-6,6.75,3.75
80,85,75,83,-6,6.75,3.75
83,85,77,90,-6,6.75,3.75
88,85,85,90,-6,6.75,3.75
88,74,78,85,-6,6.75,3.75
81,74,84,85,-6,6.75,3.75
79,85,83,90,-6,6.75,3.75
79,85,83,85,-6,6.75,3.75
79,85,86,85,-6,6.75,3.75
80,85,86,85,-6,6.75,3.75
77,86,78,85,-6,6.75,3.75
77,86,78,85,-6,6.75,3.75
77,86,84,85,-6,6.75,3.75
77,82,78,85,-6,6.75,3.75
79,82,84,85,-6,6.75,3.75
79,82,84,82,-6,6.75,3.75
81,82,79,86,-6,6.75,3.75
83,82,79,86,-6,6.75,3.75
71,82,76,86,-6,6.75,3.75
71,82,83,86,-6,6.75,3.75
73,73,73,74,-6,5.25,3.75
75,73,73,75,-6,5.25,3.75
75,73,81,76,-6,5.25,3.75
77,71,81,76,-6,5.25,3.75
75,74,72,76,-6,5.25,3.75
77,74,72,71,-6,5.25,3.75
76,73,72,72,-6,5.25,3.75
76,73,72,72,-6,5.25,3.75
76,72,72,75,-6,5.25,3.75
76,72,72,72,-6,5.25,3.75
76,72,80,71,-6,5.25,3.75
76,73,80,75,-6,5.25,3.75
76,73,84,76,-6,5.25,3.75
70,73,84,76,-6,5.25,3.75
70,73,72,74,-6,5.25,3.75
72,70,69,78,-6,3.75,3.75
73,69,69,79,-6,3.75,3.75
73,69,67,79,-6,3.75,3.75
72,69,69,79,-6,3.75,3.75
72,69,69,71,-6,3.75,3.75
74,69,67,71,-6,3.75,3.75
72,69,73,70,-6,3.75,3.75
72,69,73,70,-6,3.75,3.75
73,69,73,70,-6,3.75,3.75
70,69,68,77,-6,3.75,3.75
71,76,69,70,-6,3.75,3.75
71,76,73,70,-6,3.75,3.75
70,76,69,78,-6,3.75,3.75
70,76,69,80,-6,3.75,3.75
70,76,72,78,-6,3.75,3.75
74,76,68,78,-6,3.75,3.75
70,76,68,78,-6,3.75,3.75
73,69,71,78,-6,3.75,3.75
72,69,67,70,-6,3.75,3.75
72,69,67,83,-6,3.75,3.75
72,75,68,82,-6,3.75,3.75
75,70,85,73,-6,2.25,3.75
75,70,85,74,-6,2.25,3.75
82,76,85,74,-6,2.25,3.75
82,76,76,73,-6,2.25,3.75
81,76,76,78,-6,2.25,3.75
81,76,76,82,-6,2.25,3.75
75,75,76,73,-6,2.25,3.75
75,70,76,73,-6,2.25,3.75
80,70,77,80,-6,2.25,3.75
75,78,77,74,-6,2.25,3.75
75,78,74,74,-6,2.25,3.75
75,77,74,80,-6,2.25,3.75
75,77,80,74,-6,2.25,3.75
