RSS_1,RSS_3,RSS_4,RSS_5,TxPower,xRegression,yRegression
75,82,76,88,-6,5.25,0.75
75,82,76,88,-6,5.25,0.75
75,82,76,86,-6,5.25,0.75
75,70,90,85,-6,5.25,0.75
83,70,90,85,-6,5.25,0.75
83,86,90,89,-6,5.25,0.75
74,72,90,85,-6,5.25,0.75
76,74,84,85,-6,5.25,0.75
83,86,76,85,-6,5.25,0.75
84,86,85,86,-6,5.25,0.75
76,76,86,86,-6,5.25,0.75
74,72,84,86,-6,5.25,0.75
78,85,76,85,-6,5.25,0.75
75,85,76,87,-6,5.25,0.75
75,85,76,87,-6,5.25,0.75
76,89,79,86,-6,5.25,0.75
86,78,87,86,-6,5.25,0.75
75,77,87,87,-6,5.25,0.75
75,78,87,87,-6,5.25,0.75
86,85,87,87,-6,5.25,0.75
85,76,88,87,-6,5.25,0.75
82,85,88,83,-6,5.25,0.75
83,84,76,87,-6,5.25,0.75
80,84,88,86,-6,5.25,0.75
71,76,87,68,-6,5.25,2.25
71,79,87,71,-6,5.25,2.25
69,79,87,74,-6,5.25,2.25
69,79,88,69,-6,5.25,2.25
70,79,71,69,-6,5.25,2.25
70,79,71,70,-6,5.25,2.25
71,76,71,70,-6,5.25,2.25
70,78,70,70,-6,5.25,2.25
71,81,70,70,-6,5.25,2.25
70,78,70,73,-6,5.25,2.25
70,80,72,68,-6,5.25,2.25
70,84,72,73,-6,5.25,2.25
70,84,71,74,-6,5.25,2.25
70,78,71,74,-6,5.25,2.25
70,78,70,69,-6,5.25,2.25
71,78,70,74,-6,5.25,2.25
71,77,70,74,-6,5.25,2.25
71,77,72,70,-6,5.25,2.25
70,77,71,70,-6,5.25,2.25
70,78,72,68,-6,5.25,2.25
71,78,71,74,-6,5.25,2.25
70,77,71,74,-6,5.25,2.25
71,78,84,74,-6,5.25,2.25
71,78,84,74,-6,5.25,2.25
70,78,71,68,-6,5.25,2.25
80,77,78,84,-6,6.75,2.25
66,77,78,84,-6,6.75,2.25
66,77,78,84,-6,6.75,2.25
66,77,77,84,-6,6.75,2.25
66,77,75,84,-6,6.75,2.25
66,80,75,84,-6,6.75,2.25
73,80,75,84,-6,6.75,2.25
71,79,71,84,-6,6.75,2.25
68,78,71,80,-6,6.75,2.25
66,79,71,78,-6,6.75,2.25
66,79,78,78,-6,6.75,2.25
66,79,72,78,-6,6.75,2.25
65,79,71,82,-6,6.75,2.25
64,79,71,78,-6,6.75,2.25
66,78,71,79,-6,6.75,2.25
67,79,71,81,-6,6.75,2.25
65,79,72,82,-6,6.75,2.25
65,79,72,78,-6,6.75,2.25
63,85,74,82,-6,8.25,2.25
64,85,74,82,-6,8.25,2.25
64,75,74,82,-6,8.25,2.25
64,85,73,82,-6,8.25,2.25
63,85,79,82,-6,8.25,2.25
64,85,74,82,-6,8.25,2.25
62,85,79,82,-6,8.25,2.25
63,87,79,82,-6,8.25,2.25
64,87,81,82,-6,8.25,2.25
65,85,81,82,-6,8.25,2.25
65,85,78,82,-6,8.25,2.25
63,76,74,82,-6,8.25,2.25
64,84,74,82,-6,8.25,2.25
65,84,80,75,-6,8.25,2.25
63,84,79,75,-6,8.25,2.25
65,75,73,86,-6,8.25,2.25
65,76,79,86,-6,8.25,2.25
63,76,74,86,-6,8.25,2.25
63,76,73,88,-6,8.25,2.25
73,74,78,80,-6,8.25,3.75
73,74,76,80,-6,8.25,3.75
73,77,76,80,-6,8.25,3.75
73,76,76,77,-6,8.25,3.75
74,76,76,80,-6,8.25,3.75
77,76,76,76,-6,8.25,3.75
73,78,76,77,-6,8.25,3.75
71,78,77,76,-6,8.25,3.75
71,78,76,80,-6,8.25,3.75
75,78,76,80,-6,8.25,3.75
71,77,72,80,-6,8.25,3.75
71,76,77,80,-6,8.25,3.75
78,76,76,76,-6,8.25,3.75
78,75,76,76,-6,8.25,3.75
78,76,76,77,-6,8.25,3.75
71,74,84,71,-6,9.75,3.75
70,74,79,79,-6,9.75,3.75
64,79,82,82,-6,9.75,3.75
70,79,82,71,-6,9.75,3.75
71,79,82,71,-6,9.75,3.75
72,73,79,71,-6,9.75,3.75
71,73,78,71,-6,9.75,3.75
72,73,85,71,-6,9.75,3.75
72,73,80,82,-6,9.75,3.75
73,75,79,71,-6,9.75,3.75
63,73,79,82,-6,9.75,3.75
71,75,79,81,-6,9.75,3.75
70,75,78,71,-6,9.75,3.75
64,75,79,71,-6,9.75,3.75
64,73,80,80,-6,9.75,3.75
72,73,84,82,-6,9.75,3.75
69,87,77,70,-6,11.25,3.75
63,87,77,70,-6,11.25,3.75
63,78,73,71,-6,11.25,3.75
63,78,73,70,-6,11.25,3.75
63,79,73,70,-6,11.25,3.75
63,78,77,72,-6,11.25,3.75
64,78,79,72,-6,11.25,3.75
62,78,73,74,-6,11.25,3.75
62,90,72,72,-6,11.25,3.75
69,88,77,71,-6,11.25,3.75
65,78,77,71,-6,11.25,3.75
63,78,77,72,-6,11.25,3.75
69,87,79,71,-6,11.25,3.75
65,87,79,71,-6,11.25,3.75
62,87,79,71,-6,11.25,3.75
64,83,76,75,-6,11.25,3.75
65,80,84,90,-6,9.75,3.75
65,79,81,90,-6,9.75,3.75
65,79,81,90,-6,9.75,3.75
66,81,81,87,-6,9.75,3.75
65,74,81,85,-6,9.75,3.75
65,74,82,86,-6,9.75,3.75
66,81,82,90,-6,9.75,3.75
63,78,82,83,-6,9.75,3.75
65,78,82,83,-6,9.75,3.75
67,79,86,87,-6,9.75,3.75
67,79,82,87,-6,9.75,3.75
65,79,82,87,-6,9.75,3.75
64,83,82,86,-6,9.75,3.75
69,83,82,86,-6,9.75,3.75
65,79,82,86,-6,9.75,3.75
65,80,80,87,-6,9.75,3.75
66,80,83,87,-6,9.75,3.75
66,82,87,86,-6,9.75,3.75
65,80,90,85,-6,9.75,3.75
65,81,81,85,-6,9.75,3.75
72,75,81,86,-6,8.25,3.75
72,70,81,84,-6,8.25,3.75
72,70,81,84,-6,8.25,3.75
72,70,81,84,-6,8.25,3.75
72,74,82,84,-6,8.25,3.75
71,74,81,85,-6,8.25,3.75
71,74,81,85,-6,8.25,3.75
70,74,82,85,-6,8.25,3.75
72,74,82,84,-6,8.25,3.75
72,74,81,84,-6,8.25,3.75
72,74,81,84,-6,8.25,3.75
69,76,81,84,-6,8.25,3.75
69,71,81,84,-6,8.25,3.75
67,70,80,85,-6,6.75,2.25
67,69,81,89,-6,6.75,2.25
68,78,81,89,-6,6.75,2.25
69,78,81,90,-6,6.75,2.25
69,78,75,84,-6,6.75,2.25
69,70,78,83,-6,6.75,2.25
69,70,78,83,-6,6.75,2.25
69,70,78,88,-6,6.75,2.25
71,77,80,88,-6,6.75,2.25
71,83,78,82,-6,6.75,2.25
71,82,78,90,-6,6.75,2.25
69,76,74,90,-6,6.75,2.25
68,77,80,90,-6,6.75,2.25
68,76,79,90,-6,6.75,2.25
68,76,80,86,-6,6.75,2.25
69,85,80,86,-6,6.75,2.25
68,85,81,89,-6,6.75,2.25
68,85,80,91,-6,6.75,2.25
68,70,84,91,-6,6.75,2.25
70,85,79,91,-6,6.75,2.25
70,78,79,91,-6,6.75,2.25
70,78,81,91,-6,6.75,2.25
69,70,77,89,-6,6.75,2.25
69,70,78,89,-6,6.75,2.25
68,70,75,78,-6,6.75,2.25
68,70,73,88,-6,6.75,2.25
70,85,80,88,-6,6.75,2.25
70,85,74,88,-6,6.75,2.25
69,77,74,88,-6,6.75,2.25
66,85,77,88,-6,6.75,2.25
67,85,78,88,-6,6.75,2.25
67,69,78,88,-6,6.75,2.25
67,70,82,88,-6,6.75,2.25
70,77,82,88,-6,6.75,2.25
70,70,79,88,-6,6.75,2.25
74,84,78,83,-6,5.25,2.25
74,74,81,76,-6,5.25,2.25
74,78,81,87,-6,5.25,2.25
74,78,83,74,-6,5.25,2.25
74,78,79,74,-6,5.25,2.25
74,78,79,85,-6,5.25,2.25
74,79,84,85,-6,5.25,2.25
74,79,84,85,-6,5.25,2.25
74,79,78,85,-6,5.25,2.25
74,79,79,85,-6,5.25,2.25
73,72,82,85,-6,5.25,2.25
74,72,78,85,-6,5.25,2.25
72,72,78,73,-6,5.25,2.25
72,72,79,73,-6,5.25,2.25
70,73,82,74,-6,5.25,2.25
74,73,82,74,-6,5.25,2.25
74,73,82,75,-6,5.25,2.25
74,73,79,74,-6,5.25,2.25
69,71,79,74,-6,5.25,2.25
73,71,83,88,-6,5.25,2.25
73,72,80,74,-6,5.25,2.25
73,72,80,73,-6,5.25,2.25
73,72,80,73,-6,5.25,2.25
73,72,80,73,-6,5.25,2.25
73,72,80,73,-6,5.25,2.25
73,81,81,73,-6,5.25,2.25
72,81,81,74,-6,5.25,2.25
72,81,81,75,-6,5.25,2.25
74,81,83,75,-6,5.25,2.25
74,77,83,73,-6,5.25,2.25
74,77,83,86,-6,5.25,2.25
74,77,83,74,-6,5.25,2.25
70,77,83,74,-6,5.25,2.25
70,72,79,74,-6,5.25,2.25
72,72,79,74,-6,5.25,2.25
78,74,78,74,-6,5.25,2.25
72,74,79,74,-6,5.25,2.25
74,74,79,74,-6,5.25,2.25
77,72,77,77,-7,2.25,2.25
77,72,77,77,-7,2.25,2.25
77,72,77,86,-7,2.25,2.25
77,72,87,84,-7,2.25,2.25
79,72,87,84,-7,2.25,2.25
76,66,87,76,-7,2.25,2.25
74,80,87,77,-7,2.25,2.25
74,67,76,76,-7,2.25,2.25
79,72,79,76,-7,2.25,2.25
74,67,90,76,-7,2.25,2.25
79,72,78,76,-7,2.25,2.25
74,72,75,76,-7,2.25,2.25
75,80,78,87,-7,2.25,2.25
82,81,75,77,-7,2.25,2.25
82,81,75,77,-7,2.25,2.25
78,72,74,77,-7,2.25,2.25
74,72,77,77,-7,2.25,2.25
81,72,79,86,-7,2.25,2.25
81,67,83,86,-7,2.25,2.25
74,71,80,78,-7,2.25,2.25
76,71,85,78,-7,2.25,2.25
80,81,78,76,-7,2.25,2.25
73,71,75,77,-7,2.25,2.25
73,71,90,77,-7,2.25,2.25
80,77,71,83,-7,3.75,2.25
