RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,xRegression,yRegression
69,200,85,89,86,200,-6,0xa123,73,200,88,85,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,65,200,80,89,88,200,-7,0xd123,11.25,0.75
75,200,85,86,87,200,-6,0xa123,86,200,88,90,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,64,200,80,89,88,200,-7,0xd123,11.25,0.75
76,200,85,88,86,200,-6,0xa123,72,200,88,90,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,69,200,80,89,88,200,-7,0xd123,11.25,0.75
67,200,83,88,86,200,-6,0xa123,87,200,88,89,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,63,200,80,87,87,200,-7,0xd123,11.25,0.75
72,200,83,88,87,200,-6,0xa123,75,200,88,89,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,65,200,80,87,87,200,-7,0xd123,11.25,0.75
72,200,80,86,87,200,-6,0xa123,75,200,88,85,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,65,200,80,88,87,200,-7,0xd123,11.25,0.75
72,200,84,88,87,200,-6,0xa123,75,200,87,88,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,65,200,82,86,87,200,-7,0xd123,11.25,0.75
69,200,82,88,87,200,-6,0xa123,79,200,87,88,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,69,200,82,90,87,200,-7,0xd123,11.25,0.75
69,200,83,88,86,200,-6,0xa123,79,200,87,88,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,69,200,82,90,86,200,-7,0xd123,11.25,0.75
70,200,81,83,90,200,-6,0xa123,73,200,82,93,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,67,200,84,80,86,200,-7,0xd123,9.75,0.75
71,200,81,84,87,200,-6,0xa123,73,200,82,93,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,68,200,84,81,88,200,-7,0xd123,9.75,0.75
70,200,81,82,87,200,-6,0xa123,73,200,82,93,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,66,200,84,77,88,200,-7,0xd123,9.75,0.75
67,200,82,87,84,200,-6,0xa123,72,200,81,91,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,65,200,85,77,87,200,-7,0xd123,9.75,0.75
68,200,82,82,84,200,-6,0xa123,76,200,81,91,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,71,200,85,78,87,200,-7,0xd123,9.75,0.75
68,200,82,84,87,200,-6,0xa123,76,200,81,91,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,71,200,85,83,90,200,-7,0xd123,9.75,0.75
67,200,82,83,85,200,-6,0xa123,71,200,81,91,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,71,200,85,81,90,200,-7,0xd123,9.75,0.75
67,200,85,83,85,200,-6,0xa123,71,200,79,91,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,71,200,87,81,90,200,-7,0xd123,9.75,0.75
70,200,83,80,85,200,-6,0xa123,72,200,79,83,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,68,200,88,79,90,200,-7,0xd123,9.75,0.75
66,200,83,85,89,200,-6,0xa123,71,200,79,83,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,72,200,88,85,82,200,-7,0xd123,9.75,0.75
69,200,83,85,81,200,-6,0xa123,75,200,79,83,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,74,200,88,85,87,200,-7,0xd123,9.75,0.75
67,200,81,84,81,200,-6,0xa123,76,200,91,83,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,62,200,89,82,82,200,-7,0xd123,9.75,0.75
71,200,82,80,87,200,-6,0xa123,81,200,84,85,90,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,72,200,84,80,85,200,-7,0xd123,8.25,0.75
80,200,79,80,87,200,-6,0xa123,71,200,80,85,90,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,83,77,85,200,-7,0xd123,8.25,0.75
80,200,80,83,87,200,-6,0xa123,71,200,78,85,90,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,82,79,86,200,-7,0xd123,8.25,0.75
77,200,77,87,87,200,-6,0xa123,75,200,81,85,90,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,82,80,86,200,-7,0xd123,8.25,0.75
80,200,77,80,88,200,-6,0xa123,76,200,81,85,88,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,82,85,89,200,-7,0xd123,8.25,0.75
78,200,84,86,86,200,-6,0xa123,83,200,78,85,89,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,75,200,83,79,86,200,-7,0xd123,8.25,0.75
78,200,84,84,85,200,-6,0xa123,83,200,78,85,90,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,75,200,83,78,88,200,-7,0xd123,8.25,0.75
78,200,85,87,85,200,-6,0xa123,79,200,82,85,90,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,85,78,88,200,-7,0xd123,8.25,0.75
75,200,85,87,86,200,-6,0xa123,72,200,82,87,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,71,200,85,79,85,200,-7,0xd123,8.25,0.75
75,200,74,76,87,200,-6,0xa123,72,200,83,89,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,68,200,83,79,90,200,-7,0xd123,8.25,0.75
73,200,83,78,88,200,-6,0xa123,73,200,82,87,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,76,200,84,79,83,200,-7,0xd123,8.25,0.75
79,200,83,79,88,200,-6,0xa123,71,200,82,87,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,68,200,84,77,83,200,-7,0xd123,8.25,0.75
79,200,77,82,86,200,-6,0xa123,71,200,85,90,90,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,68,200,86,76,88,200,-7,0xd123,8.25,0.75
73,200,77,85,86,200,-6,0xa123,78,200,85,90,90,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,86,76,88,200,-7,0xd123,8.25,0.75
71,200,74,81,86,200,-6,0xa123,76,200,83,90,90,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,80,76,88,200,-7,0xd123,8.25,0.75
74,200,70,82,82,200,-6,0xa123,74,200,72,86,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,78,74,87,200,-7,0xd123,6.75,0.75
74,200,70,74,82,200,-6,0xa123,74,200,72,87,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,78,71,87,200,-7,0xd123,6.75,0.75
71,200,70,78,81,200,-6,0xa123,80,200,72,87,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,78,81,91,200,-7,0xd123,6.75,0.75
85,200,69,85,81,200,-6,0xa123,77,200,78,87,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,74,200,82,75,91,200,-7,0xd123,6.75,0.75
69,200,70,78,87,200,-6,0xa123,82,200,78,87,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,74,200,82,73,86,200,-7,0xd123,6.75,0.75
69,200,70,83,81,200,-6,0xa123,82,200,72,87,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,74,200,80,72,86,200,-7,0xd123,6.75,0.75
70,200,78,77,81,200,-6,0xa123,78,200,78,87,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,75,200,79,73,86,200,-7,0xd123,6.75,0.75
72,200,73,78,82,200,-6,0xa123,78,200,78,88,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,75,200,80,71,89,200,-7,0xd123,6.75,0.75
