RSS_1,RSS_3,RSS_4,RSS_5,TxPower,xRegression,yRegression
69,79,77,78,0,0.75,0.75
69,79,79,80,0,0.75,0.75
68,79,89,74,0,0.75,0.75
68,82,77,73,0,0.75,0.75
68,82,79,73,0,0.75,0.75
68,82,79,74,0,0.75,0.75
73,82,79,74,0,0.75,0.75
73,82,85,79,0,0.75,0.75
72,82,85,79,0,0.75,0.75
72,81,85,79,0,0.75,0.75
84,81,75,78,0,0.75,0.75
72,87,80,78,0,0.75,0.75
85,85,85,78,0,0.75,0.75
69,85,80,78,0,0.75,0.75
78,83,79,81,0,0.75,2.25
80,86,76,81,0,0.75,2.25
77,85,77,75,0,0.75,2.25
79,85,79,80,0,0.75,2.25
79,85,78,80,0,0.75,2.25
78,83,78,80,0,0.75,2.25
81,83,71,80,0,0.75,2.25
81,83,79,81,0,0.75,2.25
78,81,70,74,0,0.75,2.25
78,81,70,80,0,0.75,2.25
79,81,83,80,0,0.75,2.25
78,88,70,80,0,0.75,2.25
78,88,70,80,0,0.75,2.25
78,88,77,80,0,0.75,2.25
83,83,75,76,0,0.75,3.75
82,82,73,72,0,0.75,3.75
83,88,72,72,0,0.75,3.75
84,82,72,73,0,0.75,3.75
82,80,83,70,0,0.75,3.75
78,83,83,71,0,0.75,3.75
78,82,79,72,0,0.75,3.75
78,85,72,72,0,0.75,3.75
77,85,72,74,0,0.75,3.75
81,82,72,73,0,0.75,3.75
78,85,73,73,0,0.75,3.75
82,85,74,73,0,0.75,3.75
82,82,74,71,0,0.75,3.75
78,83,77,72,0,0.75,3.75
81,84,73,72,0,0.75,3.75
80,87,81,72,0,0.75,3.75
77,89,72,72,0,0.75,3.75
81,85,70,78,0,2.25,3.75
78,85,77,83,0,2.25,3.75
78,85,69,80,0,2.25,3.75
84,86,69,80,0,2.25,3.75
82,82,70,73,0,2.25,3.75
80,90,71,78,0,2.25,3.75
80,90,71,78,0,2.25,3.75
80,90,77,84,0,2.25,3.75
80,85,77,86,0,2.25,3.75
80,85,69,86,0,2.25,3.75
86,83,70,86,0,2.25,3.75
82,86,70,86,0,2.25,3.75
84,86,71,87,0,2.25,3.75
78,85,70,89,0,2.25,3.75
78,85,71,87,0,2.25,3.75
84,83,71,87,0,2.25,3.75
81,83,74,73,0,2.25,3.75
81,83,72,85,0,2.25,3.75
79,83,70,85,0,2.25,3.75
85,87,70,83,0,2.25,3.75
78,84,71,83,0,2.25,3.75
78,81,71,83,0,2.25,3.75
88,81,71,83,0,2.25,3.75
76,81,69,82,0,2.25,3.75
77,80,70,73,0,2.25,3.75
75,80,70,83,0,2.25,3.75
75,83,70,83,0,2.25,3.75
80,83,70,83,0,2.25,3.75
80,83,69,83,0,2.25,3.75
85,83,76,84,0,2.25,3.75
79,81,77,84,0,2.25,3.75
79,83,77,84,0,2.25,3.75
85,84,69,75,0,2.25,3.75
68,87,70,78,0,2.25,2.25
69,87,70,78,0,2.25,2.25
68,82,75,77,0,2.25,2.25
68,82,75,78,0,2.25,2.25
68,85,74,78,0,2.25,2.25
73,85,71,77,0,2.25,2.25
68,81,74,77,0,2.25,2.25
68,81,70,78,0,2.25,2.25
68,81,70,78,0,2.25,2.25
68,79,70,81,0,2.25,2.25
72,79,70,83,0,2.25,2.25
68,87,70,78,0,2.25,2.25
68,87,70,80,0,2.25,2.25
69,80,70,80,0,2.25,2.25
84,91,73,81,0,2.25,0.75
84,91,73,81,0,2.25,0.75
77,86,82,80,0,2.25,0.75
90,86,75,78,0,2.25,0.75
80,86,76,81,0,2.25,0.75
75,88,76,81,0,2.25,0.75
75,88,76,81,0,2.25,0.75
73,76,74,81,0,2.25,0.75
74,91,77,78,0,2.25,0.75
76,76,74,78,0,2.25,0.75
76,77,70,78,0,2.25,0.75
74,77,75,78,0,2.25,0.75
74,76,76,80,0,2.25,0.75
74,77,76,78,0,2.25,0.75
74,77,70,80,0,2.25,0.75
73,81,75,80,0,3.75,0.75
73,81,75,80,0,3.75,0.75
76,81,72,79,0,3.75,0.75
76,81,72,79,0,3.75,0.75
70,81,77,79,0,3.75,0.75
74,77,77,80,0,3.75,0.75
81,74,73,80,0,3.75,0.75
83,81,73,76,0,3.75,0.75
83,77,73,76,0,3.75,0.75
82,81,76,76,0,3.75,0.75
78,72,76,81,0,3.75,0.75
77,72,73,78,0,3.75,0.75
73,73,75,76,0,3.75,0.75
73,73,77,78,0,3.75,0.75
73,73,77,82,0,3.75,0.75
85,73,77,79,0,3.75,0.75
72,82,71,76,0,3.75,2.25
73,82,78,74,0,3.75,2.25
73,81,72,76,0,3.75,2.25
78,81,72,76,0,3.75,2.25
72,83,71,70,0,3.75,2.25
72,81,71,70,0,3.75,2.25
70,81,72,76,0,3.75,2.25
81,84,73,76,0,3.75,2.25
70,83,73,76,0,3.75,2.25
78,81,73,76,0,3.75,2.25
70,82,77,76,0,3.75,2.25
80,83,72,75,0,3.75,2.25
73,84,73,75,0,3.75,2.25
70,82,73,76,0,3.75,2.25
83,73,67,85,0,3.75,3.75
74,78,70,85,0,3.75,3.75
75,78,67,85,0,3.75,3.75
77,78,67,74,0,3.75,3.75
73,80,67,74,0,3.75,3.75
73,73,68,80,0,3.75,3.75
73,73,68,84,0,3.75,3.75
80,73,68,84,0,3.75,3.75
72,73,70,74,0,3.75,3.75
82,72,69,86,0,3.75,3.75
79,72,69,86,0,3.75,3.75
76,72,69,74,0,3.75,3.75
77,72,70,74,0,3.75,3.75
79,80,70,74,0,3.75,3.75
73,80,67,74,0,3.75,3.75
83,80,72,78,0,5.25,3.75
73,77,70,81,0,5.25,3.75
86,77,69,78,0,5.25,3.75
80,83,69,82,0,5.25,3.75
82,83,70,78,0,5.25,3.75
82,83,70,78,0,5.25,3.75
82,83,76,76,0,5.25,3.75
76,79,71,79,0,5.25,3.75
84,79,71,78,0,5.25,3.75
73,79,74,80,0,5.25,3.75
72,80,74,76,0,5.25,3.75
71,80,70,80,0,5.25,3.75
79,80,72,78,0,5.25,3.75
78,78,72,76,0,5.25,3.75
72,82,72,76,0,5.25,3.75
82,83,73,77,0,5.25,3.75
76,83,75,77,0,5.25,3.75
78,76,73,75,0,5.25,3.75
79,76,73,81,0,5.25,3.75
77,76,70,76,0,5.25,3.75
70,78,84,80,0,5.25,2.25
70,78,84,80,0,5.25,2.25
70,78,88,79,0,5.25,2.25
74,78,75,78,0,5.25,2.25
77,78,85,78,0,5.25,2.25
77,78,85,78,0,5.25,2.25
77,78,74,80,0,5.25,2.25
69,78,83,78,0,5.25,2.25
69,76,74,78,0,5.25,2.25
