RSS_1,RSS_3,RSS_4,RSS_5,TxPower,xRegression,yRegression
80,83,88,74,0,0.75,0.75
79,83,81,74,0,0.75,0.75
79,83,81,74,0,0.75,0.75
77,83,80,74,0,0.75,0.75
77,83,86,74,0,0.75,0.75
77,89,80,74,0,0.75,0.75
78,89,82,74,0,0.75,0.75
76,83,84,74,0,0.75,0.75
76,83,84,81,0,0.75,0.75
79,83,84,74,0,0.75,0.75
77,83,83,74,0,0.75,0.75
77,84,83,81,0,0.75,0.75
76,84,83,74,0,0.75,0.75
76,82,83,74,0,0.75,0.75
76,83,81,74,0,0.75,0.75
80,83,84,73,0,0.75,0.75
77,82,84,73,0,0.75,0.75
77,82,84,72,0,0.75,0.75
78,82,84,73,0,0.75,0.75
79,82,85,73,0,0.75,0.75
76,86,71,76,0,2.25,0.75
74,86,71,76,0,2.25,0.75
74,84,71,73,0,2.25,0.75
74,84,74,73,0,2.25,0.75
74,84,71,73,0,2.25,0.75
73,86,71,73,0,2.25,0.75
73,86,71,73,0,2.25,0.75
74,84,69,73,0,2.25,0.75
74,86,69,76,0,2.25,0.75
77,83,71,76,0,2.25,0.75
77,83,71,74,0,2.25,0.75
76,87,71,73,0,2.25,0.75
76,87,71,72,0,2.25,0.75
76,83,75,72,0,2.25,0.75
79,83,76,72,0,2.25,0.75
78,74,77,86,0,3.75,0.75
69,77,77,88,0,3.75,0.75
69,77,80,83,0,3.75,0.75
73,77,80,80,0,3.75,0.75
72,72,76,83,0,3.75,0.75
80,72,76,83,0,3.75,0.75
80,74,76,80,0,3.75,0.75
69,74,76,88,0,3.75,0.75
73,77,75,81,0,3.75,0.75
70,77,77,81,0,3.75,0.75
70,77,78,84,0,3.75,0.75
71,75,77,85,0,3.75,0.75
76,75,76,85,0,3.75,0.75
65,67,84,79,0,5.25,0.75
76,67,84,79,0,5.25,0.75
74,69,76,78,0,5.25,0.75
74,69,82,81,0,5.25,0.75
74,69,82,79,0,5.25,0.75
75,66,82,80,0,5.25,0.75
73,67,81,80,0,5.25,0.75
73,70,81,81,0,5.25,0.75
65,70,81,81,0,5.25,0.75
73,67,82,78,0,5.25,0.75
74,70,79,78,0,5.25,0.75
74,70,76,78,0,5.25,0.75
74,70,80,77,0,5.25,0.75
74,70,80,82,0,5.25,0.75
75,64,74,78,0,6.75,0.75
74,69,76,89,0,6.75,0.75
74,69,77,83,0,6.75,0.75
75,67,77,82,0,6.75,0.75
75,67,77,85,0,6.75,0.75
76,68,76,85,0,6.75,0.75
67,68,77,85,0,6.75,0.75
74,67,74,80,0,6.75,0.75
77,63,73,83,0,6.75,0.75
86,64,73,79,0,6.75,0.75
86,63,76,87,0,6.75,0.75
84,67,76,87,0,6.75,0.75
72,68,79,79,0,6.75,0.75
76,64,74,80,0,6.75,0.75
76,67,74,84,0,6.75,0.75
64,81,77,89,0,8.25,0.75
64,81,77,89,0,8.25,0.75
64,84,80,86,0,8.25,0.75
64,78,82,86,0,8.25,0.75
72,83,81,86,0,8.25,0.75
71,83,81,83,0,8.25,0.75
71,83,79,83,0,8.25,0.75
71,83,76,83,0,8.25,0.75
78,83,76,83,0,8.25,0.75
63,83,82,83,0,8.25,0.75
74,83,85,87,0,8.25,0.75
62,85,80,87,0,8.25,0.75
63,83,77,87,0,8.25,0.75
63,83,77,83,0,8.25,0.75
70,82,81,82,0,9.75,0.75
68,82,74,81,0,9.75,0.75
68,85,74,81,0,9.75,0.75
68,82,74,85,0,9.75,0.75
68,83,80,82,0,9.75,0.75
68,88,78,86,0,9.75,0.75
67,86,78,86,0,9.75,0.75
65,89,79,85,0,9.75,0.75
65,87,74,85,0,9.75,0.75
66,85,74,86,0,9.75,0.75
67,91,82,85,0,9.75,0.75
68,91,82,85,0,9.75,0.75
68,91,83,79,0,9.75,0.75
71,85,83,81,0,9.75,0.75
71,85,79,83,0,11.25,0.75
71,85,80,87,0,11.25,0.75
71,84,80,85,0,11.25,0.75
66,84,79,85,0,11.25,0.75
66,84,79,85,0,11.25,0.75
72,83,86,85,0,11.25,0.75
71,83,87,86,0,11.25,0.75
71,84,81,86,0,11.25,0.75
71,84,88,86,0,11.25,0.75
70,87,79,88,0,11.25,0.75
71,86,86,84,0,11.25,0.75
71,83,86,83,0,11.25,0.75
71,85,85,83,0,11.25,0.75
71,85,85,83,0,11.25,0.75
72,87,86,85,0,11.25,0.75
