RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,xRegressionn,yRegression
82,200,200,200,73,73,-7,0.75,0.75
78,200,79,78,75,73,-7,0.75,0.75
78,82,78,77,75,73,-7,0.75,0.75
79,79,78,77,66,75,-7,0.75,0.75
79,79,78,78,66,75,-7,0.75,0.75
83,78,76,78,66,89,-7,0.75,0.75
83,78,76,78,67,75,-7,0.75,0.75
78,83,77,78,66,74,-7,0.75,0.75
78,85,76,78,74,74,-7,0.75,0.75
78,85,76,78,66,74,-7,0.75,0.75
78,85,76,77,74,72,-7,0.75,0.75
83,78,76,77,74,87,-7,0.75,0.75
75,82,76,78,74,91,-7,0.75,0.75
75,82,77,78,74,91,-7,0.75,0.75
78,85,76,78,74,75,-7,0.75,0.75
77,86,79,78,73,72,-7,0.75,0.75
77,83,79,77,73,72,-7,0.75,0.75
82,82,75,77,75,72,-7,0.75,0.75
82,82,75,77,75,72,-7,0.75,0.75
76,82,77,78,75,72,-7,0.75,0.75
81,83,77,78,74,72,-7,0.75,0.75
80,83,78,78,73,74,-7,0.75,0.75
80,87,78,78,75,74,-7,0.75,0.75
80,78,78,78,66,92,-7,0.75,0.75
80,82,79,78,75,72,-7,0.75,0.75
76,78,79,77,74,72,-7,0.75,0.75
81,78,79,78,74,72,-7,0.75,0.75
80,78,80,78,74,74,-7,0.75,0.75
80,83,80,78,74,74,-7,0.75,0.75
81,83,80,79,75,75,-7,0.75,0.75
79,79,77,79,66,74,-7,0.75,0.75
81,79,91,78,66,73,-7,0.75,0.75
82,79,79,78,74,74,-7,0.75,0.75
81,84,79,78,74,74,-7,0.75,0.75
76,77,79,79,73,74,-7,0.75,0.75
80,77,79,79,74,72,-7,0.75,0.75
80,77,79,79,74,72,-7,0.75,0.75
79,82,79,79,66,89,-7,0.75,0.75
79,83,79,79,66,73,-7,0.75,0.75
75,78,79,78,73,88,-7,0.75,0.75
84,78,76,78,74,88,-7,0.75,0.75
