Anchor 1,Anchor 2,Anchor 3,Anchor 4,Phone / Tx Power,Beacon UUID,Distance
67,71,82,200,-10,0xa123,O1
75,73,77,200,-7,0xb123,O1
65,69,69,200,-10,0xa123,O1
63,74,78,200,-7,0xb123,O1
63,75,70,200,-10,0xa123,O1
64,72,69,200,-7,0xb123,O1
67,68,72,200,-10,0xa123,O1
76,65,72,200,-7,0xb123,O1
71,81,65,200,-10,0xa123,O1
62,65,70,200,-7,0xb123,O1
67,69,73,200,-10,0xa123,O1
74,66,70,200,-7,0xb123,O1
67,82,73,200,-10,0xa123,O1
68,69,72,200,-7,0xb123,O1
70,79,76,200,-10,0xa123,O1
71,67,69,200,-7,0xb123,O1
67,79,85,200,-10,0xa123,O1
72,72,74,200,-7,0xb123,O1
80,78,66,200,-10,0xa123,O1
72,77,71,200,-7,0xb123,O1
70,69,70,200,-10,0xa123,O1
61,70,72,200,-7,0xb123,O1
68,69,67,200,-10,0xa123,O1
61,65,73,200,-7,0xb123,O1
65,61,67,200,-10,0xa123,O1
64,63,73,200,-7,0xb123,O1
69,67,67,200,-10,0xa123,O1
69,61,68,200,-7,0xb123,O1
70,66,64,200,-10,0xa123,O1
57,56,69,200,-7,0xb123,O1
63,73,79,200,-10,0xa123,O1
63,70,72,200,-7,0xb123,O1
65,71,74,200,-10,0xa123,O1
61,68,74,200,-7,0xb123,O1
63,80,78,200,-10,0xa123,O1
63,69,72,200,-7,0xb123,O1
64,78,77,200,-10,0xa123,O1
70,68,70,200,-7,0xb123,O1
63,81,73,200,-10,0xa123,O1
63,64,76,200,-7,0xb123,O1
61,72,73,200,-10,0xa123,O1
65,74,74,200,-7,0xb123,O1
65,73,64,200,-10,0xa123,O1
65,70,71,200,-7,0xb123,O1
68,80,74,200,-10,0xa123,O1
67,71,70,200,-7,0xb123,O1
72,80,76,200,-10,0xa123,O1
64,67,84,200,-7,0xb123,O1
65,76,72,200,-10,0xa123,O1
62,67,76,200,-7,0xb123,O1
64,68,78,200,-10,0xa123,O1
60,61,64,200,-7,0xb123,O1
64,68,72,200,-10,0xa123,O1
62,66,66,200,-7,0xb123,O1
62,68,72,200,-10,0xa123,O1
61,64,65,200,-7,0xb123,O1
69,79,67,200,-10,0xa123,O1
62,70,73,200,-7,0xb123,O1
66,79,67,200,-10,0xa123,O1
65,66,74,200,-7,0xb123,O1
73,70,73,200,-10,0xa123,O1
70,64,68,200,-7,0xb123,O1
77,71,85,200,-10,0xa123,O1
68,76,72,200,-7,0xb123,O1
71,68,76,200,-10,0xa123,O1
66,81,67,200,-7,0xb123,O1
63,67,77,200,-10,0xa123,O1
64,67,70,200,-7,0xb123,O1
68,71,72,200,-10,0xa123,O1
64,63,75,200,-7,0xb123,O1
63,62,64,200,-10,0xa123,O1
60,68,69,200,-7,0xb123,O1
63,68,72,200,-10,0xa123,O1
61,68,72,200,-7,0xb123,O1
61,69,71,200,-10,0xa123,O1
62,62,67,200,-7,0xb123,O1
70,66,67,200,-10,0xa123,O1
68,62,65,200,-7,0xb123,O1
79,64,67,200,-10,0xa123,O1
71,68,65,200,-7,0xb123,O1
62,63,71,200,-10,0xa123,O1
60,60,64,200,-7,0xb123,O1
68,65,73,200,-10,0xa123,O1
62,63,70,200,-7,0xb123,O1
74,81,64,200,-10,0xa123,O1
73,61,71,200,-7,0xb123,O1
71,83,77,200,-10,0xa123,A2
66,86,80,200,-7,0xb123,A2
78,76,81,200,-10,0xa123,A2
75,72,84,200,-7,0xb123,A2
77,78,73,200,-10,0xa123,A2
68,73,72,200,-7,0xb123,A2
73,69,77,200,-10,0xa123,A2
68,70,80,200,-7,0xb123,A2
77,71,83,200,-10,0xa123,A2
76,75,79,200,-7,0xb123,A2
81,72,85,200,-10,0xa123,A2
67,73,85,200,-7,0xb123,A2
76,72,76,200,-10,0xa123,A2
70,75,70,200,-7,0xb123,A2
84,74,78,200,-10,0xa123,A2
67,73,77,200,-7,0xb123,A2
80,78,78,200,-10,0xa123,A2
75,82,77,200,-7,0xb123,A2
72,78,80,200,-10,0xa123,A2
68,82,69,200,-7,0xb123,A2
84,72,81,200,-10,0xa123,A2
69,77,80,200,-7,0xb123,A2
80,80,83,200,-10,0xa123,A2
75,74,76,200,-7,0xb123,A2
72,82,74,200,-10,0xa123,A2
73,70,77,200,-7,0xb123,A2
75,72,78,200,-10,0xa123,A2
70,82,79,200,-7,0xb123,A2
79,72,79,200,-10,0xa123,A2
71,73,81,200,-7,0xb123,A2
77,79,73,200,-10,0xa123,A2
69,72,69,200,-7,0xb123,A2
75,77,76,200,-10,0xa123,A2
68,85,76,200,-7,0xb123,A2
77,82,80,200,-10,0xa123,A2
73,77,81,200,-7,0xb123,A2
74,76,78,200,-10,0xa123,A2
74,73,67,200,-7,0xb123,A2
72,78,73,200,-10,0xa123,A2
70,71,71,200,-7,0xb123,A2
78,90,82,200,-10,0xa123,A2
74,77,67,200,-7,0xb123,A2
76,76,88,200,-10,0xa123,A2
75,76,71,200,-7,0xb123,A2
68,86,74,200,-10,0xa123,A2
70,73,72,200,-7,0xb123,A2
70,79,76,200,-10,0xa123,A2
76,73,75,200,-7,0xb123,A2
73,80,85,200,-10,0xa123,A2
74,73,75,200,-7,0xb123,A2
71,79,89,200,-10,0xa123,A2
72,72,78,200,-7,0xb123,A2
81,78,74,200,-10,0xa123,A2
77,70,76,200,-7,0xb123,A2
72,73,82,200,-10,0xa123,A2
69,78,69,200,-7,0xb123,A2
82,75,76,200,-10,0xa123,A2
66,79,86,200,-7,0xb123,A2
73,67,77,200,-10,0xa123,A2
67,76,65,200,-7,0xb123,A2
68,71,75,200,-10,0xa123,A2
66,74,62,200,-7,0xb123,A2
70,73,77,200,-10,0xa123,A2
73,75,78,200,-7,0xb123,A2
76,87,76,200,-10,0xa123,A2
77,80,64,200,-7,0xb123,A2
75,74,82,200,-10,0xa123,A2
73,69,77,200,-7,0xb123,A2
78,83,75,200,-10,0xa123,A2
67,75,79,200,-7,0xb123,A2
71,79,79,200,-10,0xa123,A2
64,69,71,200,-7,0xb123,A2
69,76,85,200,-10,0xa123,A2
70,70,74,200,-7,0xb123,A2
68,73,74,200,-10,0xa123,A2
68,78,66,200,-7,0xb123,A2
75,77,79,200,-10,0xa123,A2
65,73,76,200,-7,0xb123,A2
72,79,79,200,-10,0xa123,A2
83,78,79,200,-7,0xb123,A2
74,78,83,200,-10,0xa123,A2
80,71,72,200,-7,0xb123,A2
70,79,80,200,-10,0xa123,A2
70,73,75,200,-7,0xb123,A2
74,84,82,200,-10,0xa123,A2
74,69,74,200,-7,0xb123,A2
74,86,77,200,-10,0xa123,A2
77,85,73,200,-7,0xb123,A2
69,81,79,200,-10,0xa123,A2
61,86,71,200,-7,0xb123,A2
71,85,80,200,-10,0xa123,B3
80,69,79,200,-7,0xb123,B3
76,80,79,200,-10,0xa123,B3
67,76,72,200,-7,0xb123,B3
78,77,78,200,-10,0xa123,B3
73,71,86,200,-7,0xb123,B3
78,83,76,200,-10,0xa123,B3
71,82,74,200,-7,0xb123,B3
78,88,76,200,-10,0xa123,B3
76,77,74,200,-7,0xb123,B3
74,83,79,200,-10,0xa123,B3
67,71,81,200,-7,0xb123,B3
82,78,77,200,-10,0xa123,B3
69,73,78,200,-7,0xb123,B3
76,74,74,200,-10,0xa123,B3
75,77,75,200,-7,0xb123,B3
72,82,90,200,-10,0xa123,B3
67,73,67,200,-7,0xb123,B3
79,79,82,200,-10,0xa123,B3
68,71,76,200,-7,0xb123,B3
73,80,91,200,-10,0xa123,B3
72,70,73,200,-7,0xb123,B3
71,81,79,200,-10,0xa123,B3
79,73,72,200,-7,0xb123,B3
73,81,76,200,-10,0xa123,B3
84,73,80,200,-7,0xb123,B3
71,82,82,200,-10,0xa123,B3
75,67,73,200,-7,0xb123,B3
76,82,77,200,-10,0xa123,B3
73,75,76,200,-7,0xb123,B3
71,82,77,200,-10,0xa123,B3
72,73,72,200,-7,0xb123,B3
72,74,80,200,-10,0xa123,B3
76,83,79,200,-7,0xb123,B3
72,85,77,200,-10,0xa123,B3
65,80,72,200,-7,0xb123,B3
73,74,74,200,-10,0xa123,B3
77,72,73,200,-7,0xb123,B3
84,74,72,200,-10,0xa123,B3
79,78,75,200,-7,0xb123,B3
73,80,81,200,-10,0xa123,B3
75,77,85,200,-7,0xb123,B3
79,78,85,200,-10,0xa123,B3
72,77,82,200,-7,0xb123,B3
70,84,76,200,-10,0xa123,B3
71,78,70,200,-7,0xb123,B3
75,80,77,200,-10,0xa123,B3
70,66,71,200,-7,0xb123,B3
73,83,86,200,-10,0xa123,B3
73,78,75,200,-7,0xb123,B3
69,74,79,200,-10,0xa123,B3
71,73,77,200,-7,0xb123,B3
81,71,84,200,-10,0xa123,B3
80,75,77,200,-7,0xb123,B3
70,80,77,200,-10,0xa123,B3
71,74,71,200,-7,0xb123,B3
72,79,86,200,-10,0xa123,B3
68,79,73,200,-7,0xb123,B3
80,74,76,200,-10,0xa123,B3
69,84,77,200,-7,0xb123,B3
72,75,76,200,-10,0xa123,B3
71,68,77,200,-7,0xb123,B3
67,80,75,200,-10,0xa123,B3
75,80,74,200,-7,0xb123,B3
78,78,79,200,-10,0xa123,B3
64,75,70,200,-7,0xb123,B3
70,79,75,200,-10,0xa123,B3
72,81,69,200,-7,0xb123,B3
78,82,76,200,-10,0xa123,B3
71,79,68,200,-7,0xb123,B3
71,76,78,200,-10,0xa123,B3
73,73,70,200,-7,0xb123,B3
75,78,73,200,-10,0xa123,B3
69,85,73,200,-7,0xb123,B3
79,82,80,200,-10,0xa123,B3
69,68,81,200,-7,0xb123,B3
77,88,88,200,-10,0xa123,B3
78,77,82,200,-7,0xb123,B3
76,81,87,200,-10,0xa123,C4
70,87,83,200,-7,0xb123,C4
73,79,90,200,-10,0xa123,C4
78,83,86,200,-7,0xb123,C4
80,87,75,200,-10,0xa123,C4
78,80,82,200,-7,0xb123,C4
72,85,80,200,-10,0xa123,C4
83,78,79,200,-7,0xb123,C4
